sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1,med1
2,35.0,4,2,4,1,0,2,6,2,0,2,FDP,2,0
2,53.0,6,2,4,1,0,2,5,4,2,2,CVP,2,0
1,62.0,2,2,4,1,0,4,3,2,2,2,FDP,2,0
1,44.0,6,2,4,1,0,4,7,1,0,2,SP,2,0
2,73.0,6,2,4,1,0,5,2,3,0,2,FDP,1,0
2,67.0,2,2,4,2,0,2,6,4,3,2,SP,2,0
1,58.0,2,2,1,2,0,4,6,2,1,2,SP,2,0
1,83.0,2,2,1,2,0,8,0,3,1,2,CSP,2,0
1,66.0,2,2,4,2,0,4,6,1,1,2,FDP,1,0
1,68.0,4,2,4,2,0,8,6,2,2,2,FDP,2,0
1,75.0,2,2,4,2,0,4,6,3,1,2,FDP,2,0
2,45.0,7,2,1,2,0,2,6,2,3,2,FDP,2,0
2,42.0,2,2,4,2,0,2,2,2,2,2,FDP,2,0
2,64.0,2,2,4,2,0,2,6,3,1,2,FDP,2,0
1,66.0,7,2,4,2,0,2,2,2,1,2,FDP,2,0
1,24.0,3,2,4,2,0,4,5,2,2,2,CVP,2,0
1,29.0,6,2,1,2,0,4,4,2,1,2,SP,2,0
2,52.0,2,2,4,2,0,2,6,2,3,2,FDP,2,0
1,0.0,3,2,4,2,0,4,4,2,2,2,FDP,2,0
2,58.0,3,2,4,2,0,2,6,2,2,2,CVP,1,0
2,76.0,2,2,4,2,0,8,6,2,1,2,SP,2,0
2,53.0,2,2,4,2,0,2,5,4,3,2,SP,2,0
1,42.0,2,2,1,2,0,2,5,2,3,2,CSP,2,0
1,59.0,2,2,4,2,0,4,5,1,2,2,SP,2,0
1,69.0,6,2,4,2,0,8,0,3,1,2,SP,2,0
2,72.0,3,2,4,2,0,8,6,4,3,2,FDP,2,0
1,0.0,6,2,4,2,0,8,0,3,1,2,FDP,2,0
1,55.0,2,2,2,2,0,2,4,4,3,2,PdA,2,0
1,47.0,4,2,3,2,0,3,3,0,1,2,FDP,2,0
1,67.0,2,2,1,2,0,4,6,2,1,2,FDP,2,0
2,36.0,2,2,4,2,0,2,4,4,2,2,SP,2,0
2,70.0,2,2,4,2,0,8,4,2,0,2,FDP,1,0
2,44.0,6,2,1,2,0,2,7,4,3,2,SP,2,0
2,47.0,2,2,4,2,0,2,7,2,2,2,SP,1,0
1,57.0,6,2,1,2,0,4,0,2,1,2,SP,1,0
2,25.0,6,2,4,2,0,2,7,2,2,2,SVP,2,0
2,59.0,6,2,1,2,0,2,5,2,3,2,SP,2,0
1,81.0,6,2,4,2,0,10,0,3,2,2,SP,1,0
1,51.0,6,2,4,2,0,2,5,3,3,2,SP,1,0
