sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1
0,66.0,7,2,4,2,0,2,2,2,1,1,FDP,2
0,24.0,3,2,4,2,0,4,5,2,2,1,CVP,2
0,29.0,6,2,1,2,0,4,4,2,1,1,SP,2
1,52.0,2,2,4,2,0,2,6,2,3,1,FDP,2
0,0.0,3,2,4,2,0,4,4,2,2,1,FDP,2
1,58.0,3,2,4,2,0,2,6,2,2,1,CVP,1
1,76.0,2,2,4,2,0,8,6,2,1,1,SP,2
1,53.0,2,2,4,2,0,2,5,4,3,1,SP,2
0,59.0,2,2,4,2,0,4,5,1,2,1,SP,2
0,69.0,6,2,4,2,0,8,0,3,1,1,SP,2
1,72.0,3,2,4,2,0,8,6,4,3,1,FDP,2
0,0.0,6,2,4,2,0,8,0,3,1,1,FDP,2
0,47.0,4,2,3,2,0,3,3,0,1,1,FDP,2
0,67.0,2,2,1,2,0,4,6,2,1,1,FDP,2
1,36.0,2,2,4,2,0,2,4,4,2,1,SP,2
1,70.0,2,2,4,2,0,8,4,2,0,1,FDP,1
1,44.0,6,2,1,2,0,2,7,4,3,1,SP,2
1,47.0,2,2,4,2,0,2,7,2,2,1,SP,1
0,57.0,6,2,1,2,0,4,0,2,1,1,SP,1
1,25.0,6,2,4,2,0,2,7,2,2,1,SVP,2
1,59.0,6,2,1,2,0,2,5,2,3,1,SP,2
0,81.0,6,2,4,2,0,10,0,3,2,1,SP,1
0,51.0,6,2,4,2,0,2,5,3,3,1,SP,1
1,36.0,3,2,4,2,0,2,6,2,3,1,FDP,2
1,66.0,6,2,4,2,0,8,7,4,1,1,SP,1
1,51.0,2,2,4,2,0,3,2,2,2,1,SVP,2
1,54.0,6,2,4,2,0,2,5,4,1,1,SP,2
1,73.0,2,2,4,2,0,8,2,3,1,1,SVP,2
0,28.0,2,2,4,2,0,3,1,3,2,1,SVP,2
0,47.0,6,2,4,2,0,3,1,1,0,1,SVP,2
0,32.0,6,2,4,2,0,3,2,3,1,1,SVP,1
0,67.0,6,2,4,2,0,4,5,1,1,1,FDP,1
0,68.0,6,2,4,2,0,8,1,3,2,1,SVP,2
1,53.0,6,2,4,1,0,2,5,3,3,1,SP,2
1,36.0,3,2,4,2,0,2,7,3,3,1,SP,2
1,55.0,2,2,4,1,0,2,7,1,1,1,SP,2
0,42.0,6,2,4,1,0,2,5,3,1,1,SP,2
0,47.0,0,2,4,1,0,2,5,1,1,1,SP,2
0,33.0,6,2,1,1,0,4,7,3,2,1,SP,0
1,35.0,6,2,4,2,0,2,2,4,2,1,SVP,2
1,43.0,6,2,4,2,0,2,2,2,3,1,EVP,1
1,58.0,6,2,4,2,0,2,7,4,3,1,SP,2
1,44.0,2,2,4,2,0,2,7,3,3,1,SVP,1
1,26.0,2,2,4,2,0,2,6,4,2,1,SVP,2
1,47.0,6,2,4,2,0,2,1,3,1,1,SVP,2
0,39.0,6,2,3,2,0,4,5,1,1,1,SP,2
0,49.0,6,2,4,2,0,2,6,4,2,1,SP,2
0,37.0,2,2,4,2,0,4,0,3,1,1,SVP,1
0,49.0,6,2,4,2,0,2,5,1,1,1,SP,2
0,37.0,2,2,4,2,0,4,0,3,4,1,SP,2
0,59.0,6,2,4,2,0,3,1,1,1,1,SVP,2
0,37.0,6,2,4,2,0,4,5,1,1,1,SP,2
0,38.0,6,2,4,2,0,3,7,1,1,1,SVP,2
1,34.0,6,2,4,2,0,2,5,3,0,1,SP,2
1,48.0,6,2,4,2,0,2,5,2,2,1,SP,2
1,38.0,6,2,4,2,0,2,1,3,1,1,SP,2
1,29.0,6,2,4,2,0,2,1,3,0,1,SVP,2
1,61.0,6,2,4,2,0,2,2,1,1,1,SVP,1
0,23.0,2,2,4,2,0,4,4,3,1,1,SP,1
0,34.0,3,2,1,2,0,4,6,3,0,1,CVP,1
1,51.0,2,2,4,2,0,2,6,3,2,1,SP,2
1,52.0,2,2,4,2,0,2,6,3,3,1,EVP,2
1,60.0,2,2,4,2,0,2,2,2,2,1,SVP,2
0,26.0,3,2,4,2,0,4,6,2,2,1,CVP,1
0,28.0,3,2,4,2,0,2,3,2,2,1,CVP,2
0,59.0,2,2,1,2,0,4,3,2,3,1,CVP,2
1,49.0,7,2,4,2,0,2,6,4,2,1,FDP,2
1,45.0,7,2,4,2,0,2,6,2,4,1,FDP,2
1,51.0,2,2,4,2,0,2,6,1,2,1,SP,2
1,50.0,2,2,4,2,0,2,5,3,2,1,FDP,2
